"","duid","mean_lmp","lat","lon"
"1","AGLHAL",-96.1491021326631,-33.348652,138.751659
"2","AGLSOM",43.7719222967808,-37.631822,144.953077
"3","BARCALDN",207.69207613516,-23.552452,145.314186
"4","BARRON-1",914.81770696765,-16.850199,145.646495
"5","BARRON-2",1619.42971895631,-16.850199,145.646495
"6","BASTYAN",-4060.74983230631,-41.735983,145.532112
"7","BBTHREE1",65.4340974278846,-41.141944,146.9025
"8","BBTHREE2",65.4340974278846,-41.141944,146.9025
"9","BBTHREE3",65.4340974278846,-41.141944,146.9025
"10","BDL01",-141.82111756251,-37.842859,147.56393
"11","BDL02",-141.82111756251,-37.842859,147.56393
"12","BLOWERNG",-3130.17464009093,-35.398601,148.246272
"13","BLUFF1",-2438.53240110744,-33.369331,138.982476
"14","BRAEMAR1",36.8149233586312,-27.110934,150.905337
"15","BRAEMAR2",-4436.41712788393,-27.110934,150.905337
"16","BRAEMAR3",-4436.41712788393,-27.110934,150.905337
"17","BRAEMAR5",36.8266656957661,-27.11281127,150.9048783
"18","BRAEMAR6",36.8266656957661,-27.11281127,150.9048783
"19","BRAEMAR7",36.8266656957661,-27.11281127,150.9048783
"20","BW01",-2982.19167797059,-32.39527,150.94913
"21","BW02",-2982.19167797059,-32.39527,150.94913
"22","BW03",-4069.11170738235,-32.39527,150.94913
"23","BW04",-4069.11170738235,-32.39527,150.94913
"24","CALL_B_1",-493.387292723494,-24.34488,150.619749
"25","CALL_B_2",-493.387292723494,-24.34488,150.619749
"26","CETHANA",-1557.85788892826,-41.480237,146.134849
"27","CG1",374.501017431907,-33.209869,151.544785
"28","CG2",374.501017431907,-33.209869,151.544785
"29","CG3",374.501017431907,-33.209869,151.544785
"30","CG4",374.501017431907,-33.209869,151.544785
"31","CLEMGPWF",-875.230059142943,-33.50856771,138.1191752
"32","CPP_3",-493.029725101124,-24.334025,150.627973
"33","CPP_4",-493.227087735695,-24.334025,150.627973
"34","CPSA",-413.760199980573,-26.66822221,150.2700145
"35","DARTM1",-7.31555532554945,-36.556429,147.52058
"36","DDPS1",36.9716401820439,-27.11689141,150.894217
"37","DEVILS_G",-479.159585154299,-41.350467,146.263167
"38","DRYCGT1",5834.9376571134,-34.847463,138.581758
"39","DRYCGT2",5834.9376571134,-34.847463,138.581758
"40","DRYCGT3",5834.9376571134,-34.847463,138.581758
"41","EILDON1",-34.5413200871483,-37.222005,145.921452
"42","EILDON2",-34.5400910621043,-37.222005,145.921452
"43","ER01",-2273.35602911032,-33.06174875,151.5223301
"44","ER02",-2272.84563765125,-33.06174875,151.5223301
"45","ER03",-8567.93040241135,-33.06174875,151.5223301
"46","ER04",-10860.5091309343,-33.06174875,151.5223301
"47","FISHER",-1557.4227370315,-41.67324,146.268518
"48","GORDON",-4798.45051948134,-42.738642,145.981165
"49","GSTONE1",-246.901040189887,-23.850753,151.218653
"50","GSTONE2",-247.17101620749,-23.850753,151.218653
"51","GSTONE3",-2647.45732734967,-23.850753,151.218653
"52","GSTONE4",-2647.45510617876,-23.850753,151.218653
"53","GSTONE5",-246.901040189887,-23.850753,151.218653
"54","GSTONE6",-246.98114629237,-23.850753,151.218653
