region,month,season,profit_seasonal,charge_seasonal,discharge_seasonal,quarter,profit_quarterly,charge_quarterly,discharge_quarterly,profit_dif
SA,12,1,4533.139523,1/01/2018 2:30,1/01/2018 16:00,4,12614.04173,1/01/2018 2:30,1/01/2018 18:00,-8080.902206
VIC,3,2,7127.636179,1/01/2018 3:00,1/01/2018 17:30,1,14273.10799,1/01/2018 2:30,1/01/2018 16:00,-7145.471811
SA,3,2,7214.7788,1/01/2018 3:00,1/01/2018 17:30,1,14144.57508,1/01/2018 2:30,1/01/2018 16:00,-6929.796279
QLD,12,1,3583.054204,1/01/2018 1:00,1/01/2018 16:00,4,4052.853279,1/01/2018 2:00,1/01/2018 18:00,-469.799075
VIC,10,4,7409.861569,1/01/2018 2:30,1/01/2018 18:30,4,7789.003348,1/01/2018 2:30,1/01/2018 18:00,-379.1417783
NSW,12,1,3145.085095,1/01/2018 2:00,1/01/2018 15:30,4,3520.561602,1/01/2018 2:30,1/01/2018 18:00,-375.4765075
SA,10,4,6219.404961,1/01/2018 3:00,1/01/2018 18:30,4,6477.069025,1/01/2018 2:30,1/01/2018 18:00,-257.6640638
TAS,3,2,7566.175075,1/01/2018 21:30,1/01/2018 7:00,1,7819.157764,1/01/2018 2:00,1/01/2018 6:30,-252.9826887
SA,6,3,6491.3129,1/01/2018 4:00,1/01/2018 18:00,2,6723.93378,1/01/2018 3:30,1/01/2018 17:30,-232.62088
SA,7,3,4790.654055,1/01/2018 4:00,1/01/2018 18:00,3,4921.488452,1/01/2018 3:30,1/01/2018 18:00,-130.8343963
NSW,8,3,6849.083487,1/01/2018 3:30,1/01/2018 17:30,3,6965.927785,1/01/2018 3:30,1/01/2018 18:00,-116.8442979
TAS,10,4,6514.354275,1/01/2018 3:00,1/01/2018 8:00,4,6615.125533,1/01/2018 14:30,1/01/2018 19:00,-100.7712579
VIC,9,4,7614.774562,1/01/2018 2:30,1/01/2018 18:30,3,7713.101402,1/01/2018 3:00,1/01/2018 18:00,-98.32684
VIC,8,3,8165.435265,1/01/2018 3:30,1/01/2018 17:30,3,8235.428575,1/01/2018 3:00,1/01/2018 18:00,-69.99330958
NSW,2,1,5083.699095,1/01/2018 2:00,1/01/2018 15:30,1,5141.9479,1/01/2018 1:00,1/01/2018 15:30,-58.24880583
NSW,9,4,7401.957889,1/01/2018 2:30,1/01/2018 18:00,3,7430.317992,1/01/2018 3:30,1/01/2018 18:00,-28.3601025
VIC,4,2,6109.384416,1/01/2018 3:00,1/01/2018 17:30,2,6134.313378,1/01/2018 3:30,1/01/2018 17:00,-24.92896125
NSW,6,3,6896.041076,1/01/2018 3:30,1/01/2018 17:30,2,6914.478616,1/01/2018 3:00,1/01/2018 17:30,-18.43754
QLD,10,4,6492.296083,1/01/2018 1:30,1/01/2018 18:00,4,6504.290295,1/01/2018 2:00,1/01/2018 18:00,-11.9942125
SA,4,2,6116.671916,1/01/2018 3:00,1/01/2018 17:30,2,6123.111435,1/01/2018 3:30,1/01/2018 17:30,-6.43951875
NSW,1,1,9872.944438,1/01/2018 2:00,1/01/2018 15:30,1,9875.756364,1/01/2018 1:00,1/01/2018 15:30,-2.811925833
NSW,10,4,8036.065397,1/01/2018 2:30,1/01/2018 18:00,4,8036.065397,1/01/2018 2:30,1/01/2018 18:00,0
NSW,11,4,4816.769686,1/01/2018 2:30,1/01/2018 18:00,4,4816.769686,1/01/2018 2:30,1/01/2018 18:00,0
QLD,1,1,6118.745159,1/01/2018 1:00,1/01/2018 16:00,1,6118.745159,1/01/2018 1:00,1/01/2018 16:00,0
QLD,2,1,4709.070672,1/01/2018 1:00,1/01/2018 16:00,1,4709.070672,1/01/2018 1:00,1/01/2018 16:00,0
QLD,4,2,4955.792403,1/01/2018 3:00,1/01/2018 17:30,2,4955.792403,1/01/2018 3:00,1/01/2018 17:30,0
