region,quarter,profit,charge,discharge
NSW,1,20420.633405,2018-01-01T01:00:00Z,2018-01-01T15:30:00Z
NSW,2,17934.2784491667,2018-01-01T03:00:00Z,2018-01-01T17:30:00Z
NSW,3,19573.4978120833,2018-01-01T03:30:00Z,2018-01-01T18:00:00Z
NSW,4,16373.3966854167,2018-01-01T02:30:00Z,2018-01-01T18:00:00Z
QLD,1,15896.37346875,2018-01-01T01:00:00Z,2018-01-01T16:00:00Z
QLD,2,16703.9480591667,2018-01-01T03:00:00Z,2018-01-01T17:30:00Z
QLD,3,12765.29563,2018-01-01T12:00:00Z,2018-01-01T18:00:00Z
QLD,4,15345.5172625,2018-01-01T02:00:00Z,2018-01-01T18:00:00Z
SA,1,41066.3897716667,2018-01-01T02:30:00Z,2018-01-01T16:00:00Z
SA,2,18545.3081825,2018-01-01T03:30:00Z,2018-01-01T17:30:00Z
SA,3,18526.1853033333,2018-01-01T03:30:00Z,2018-01-01T18:00:00Z
SA,4,23590.4784491667,2018-01-01T02:30:00Z,2018-01-01T18:00:00Z
TAS,1,23505.35851375,2018-01-01T02:00:00Z,2018-01-01T06:30:00Z
TAS,2,16683.0091270833,2018-01-01T04:00:00Z,2018-01-01T19:00:00Z
TAS,3,12031.3603716667,2018-01-01T03:00:00Z,2018-01-01T06:30:00Z
TAS,4,13276.0015833333,2018-01-01T14:30:00Z,2018-01-01T19:00:00Z
VIC,1,42112.2909433333,2018-01-01T02:30:00Z,2018-01-01T16:00:00Z
VIC,2,18965.69293375,2018-01-01T03:30:00Z,2018-01-01T17:00:00Z
VIC,3,21299.00249375,2018-01-01T03:00:00Z,2018-01-01T18:00:00Z
VIC,4,15763.2587904167,2018-01-01T02:30:00Z,2018-01-01T18:00:00Z
