region,quarter,month,profit,charge,discharge
NSW,1,1,9875.75636375,2018-01-01T01:00:00Z,2018-01-01T15:30:00Z
NSW,1,2,5141.94790041667,2018-01-01T01:00:00Z,2018-01-01T15:30:00Z
NSW,1,3,5402.92914083333,2018-01-01T01:00:00Z,2018-01-01T15:30:00Z
NSW,2,4,5428.482935,2018-01-01T03:00:00Z,2018-01-01T17:30:00Z
NSW,2,5,5591.31689791667,2018-01-01T03:00:00Z,2018-01-01T17:30:00Z
NSW,2,6,6914.47861625,2018-01-01T03:00:00Z,2018-01-01T17:30:00Z
NSW,3,7,5177.25203583333,2018-01-01T03:30:00Z,2018-01-01T18:00:00Z
NSW,3,8,6965.92778458333,2018-01-01T03:30:00Z,2018-01-01T18:00:00Z
NSW,3,9,7430.31799166667,2018-01-01T03:30:00Z,2018-01-01T18:00:00Z
NSW,4,10,8036.06539708333,2018-01-01T02:30:00Z,2018-01-01T18:00:00Z
NSW,4,11,4816.76968625,2018-01-01T02:30:00Z,2018-01-01T18:00:00Z
NSW,4,12,3520.56160208333,2018-01-01T02:30:00Z,2018-01-01T18:00:00Z
QLD,1,1,6118.74515875,2018-01-01T01:00:00Z,2018-01-01T16:00:00Z
QLD,1,2,4709.07067208333,2018-01-01T01:00:00Z,2018-01-01T16:00:00Z
QLD,1,3,5068.55763791667,2018-01-01T01:00:00Z,2018-01-01T16:00:00Z
QLD,2,4,4955.79240333333,2018-01-01T03:00:00Z,2018-01-01T17:30:00Z
QLD,2,5,5247.78940208333,2018-01-01T03:00:00Z,2018-01-01T17:30:00Z
QLD,2,6,6500.36625375,2018-01-01T03:00:00Z,2018-01-01T17:30:00Z
QLD,3,7,4548.16967833333,2018-01-01T12:00:00Z,2018-01-01T18:00:00Z
QLD,3,8,4375.16071583333,2018-01-01T12:00:00Z,2018-01-01T18:00:00Z
QLD,3,9,3841.96523583333,2018-01-01T12:00:00Z,2018-01-01T18:00:00Z
QLD,4,10,6504.290295,2018-01-01T02:00:00Z,2018-01-01T18:00:00Z
QLD,4,11,4788.37368833333,2018-01-01T02:00:00Z,2018-01-01T18:00:00Z
QLD,4,12,4052.85327916667,2018-01-01T02:00:00Z,2018-01-01T18:00:00Z
SA,1,1,21382.9438016667,2018-01-01T02:30:00Z,2018-01-01T16:00:00Z
SA,1,2,5538.87089125,2018-01-01T02:30:00Z,2018-01-01T16:00:00Z
SA,1,3,14144.57507875,2018-01-01T02:30:00Z,2018-01-01T16:00:00Z
SA,2,4,6123.111435,2018-01-01T03:30:00Z,2018-01-01T17:30:00Z
SA,2,5,5698.26296791667,2018-01-01T03:30:00Z,2018-01-01T17:30:00Z
SA,2,6,6723.93377958333,2018-01-01T03:30:00Z,2018-01-01T17:30:00Z
SA,3,7,4921.48845166667,2018-01-01T03:30:00Z,2018-01-01T18:00:00Z
SA,3,8,7046.51584791667,2018-01-01T03:30:00Z,2018-01-01T18:00:00Z
SA,3,9,6558.18100375,2018-01-01T03:30:00Z,2018-01-01T18:00:00Z
SA,4,10,6477.069025,2018-01-01T02:30:00Z,2018-01-01T18:00:00Z
SA,4,11,4499.367695,2018-01-01T02:30:00Z,2018-01-01T18:00:00Z
SA,4,12,12614.0417291667,2018-01-01T02:30:00Z,2018-01-01T18:00:00Z
TAS,1,1,8523.31728833334,2018-01-01T02:00:00Z,2018-01-01T06:30:00Z
TAS,1,2,7162.88346166667,2018-01-01T02:00:00Z,2018-01-01T06:30:00Z
TAS,1,3,7819.15776375,2018-01-01T02:00:00Z,2018-01-01T06:30:00Z
TAS,2,4,6191.67609083333,2018-01-01T04:00:00Z,2018-01-01T19:00:00Z
TAS,2,5,5397.27984791667,2018-01-01T04:00:00Z,2018-01-01T19:00:00Z
TAS,2,6,5094.05318833333,2018-01-01T04:00:00Z,2018-01-01T19:00:00Z
TAS,3,7,4180.34901125,2018-01-01T03:00:00Z,2018-01-01T06:30:00Z
TAS,3,8,4496.46058041667,2018-01-01T03:00:00Z,2018-01-01T06:30:00Z
TAS,3,9,3354.55078,2018-01-01T03:00:00Z,2018-01-01T06:30:00Z
TAS,4,10,6615.12553291667,2018-01-01T14:30:00Z,2018-01-01T19:00:00Z
TAS,4,11,3762.93846958333,2018-01-01T14:30:00Z,2018-01-01T19:00:00Z
TAS,4,12,2897.93758083333,2018-01-01T14:30:00Z,2018-01-01T19:00:00Z
VIC,1,1,22239.5031158333,2018-01-01T02:30:00Z,2018-01-01T16:00:00Z
VIC,1,2,5599.67983791667,2018-01-01T02:30:00Z,2018-01-01T16:00:00Z
VIC,1,3,14273.1079895833,2018-01-01T02:30:00Z,2018-01-01T16:00:00Z
VIC,2,4,6134.3133775,2018-01-01T03:30:00Z,2018-01-01T17:00:00Z
VIC,2,5,5925.44236916667,2018-01-01T03:30:00Z,2018-01-01T17:00:00Z
VIC,2,6,6905.93718708333,2018-01-01T03:30:00Z,2018-01-01T17:00:00Z
VIC,3,7,5350.4725175,2018-01-01T03:00:00Z,2018-01-01T18:00:00Z
VIC,3,8,8235.42857458333,2018-01-01T03:00:00Z,2018-01-01T18:00:00Z
VIC,3,9,7713.10140166667,2018-01-01T03:00:00Z,2018-01-01T18:00:00Z
VIC,4,10,7789.0033475,2018-01-01T02:30:00Z,2018-01-01T18:00:00Z
VIC,4,11,4550.84154083333,2018-01-01T02:30:00Z,2018-01-01T18:00:00Z
VIC,4,12,3423.41390208333,2018-01-01T02:30:00Z,2018-01-01T18:00:00Z
