duid,profit_lmp,profit_lmp_mc,profit_rrp,type,station,fuel_type,schedule_type,region
AGLHAL,283476.883192,126620.953810113,282293.884433,Gen,Hallett,Gas,Scheduled,SA
AGLSOM,186706.825261,140136.64745447,185916.339906,Gen,Somerton,Gas,Scheduled,VIC
ANGAST1,290421.631138,88321.5790367825,282293.884433,Gen,Angaston,Liquid Fuel,Scheduled,SA
ARWF1,215667.232405,202453.294717353,185916.339906,Gen,Ararat Wind Farm,Wind,Semi-scheduled,VIC
BALBG1,187184.068167,177026.138007,185916.339906,Gen,Ballarat Battery Energy Storage System,Battery (Discharge),Scheduled,VIC
BALBL1,187620.526526,176652.209606,185916.339906,Load,Ballarat Battery Energy Storage System,Battery (Charge),Scheduled,VIC
BALDHWF1,186848.906777,178145.380757676,185916.339906,Gen,Bald Hills Wind Farm,Wind,Semi-scheduled,VIC
BANN1,299799.284574,202844.448224,185916.339906,Gen,Bannerton Solar Park,Solar,Semi-scheduled,VIC
BARCALDN,133879.7845,40634.2887739175,105246.192707,Gen,Barcaldine,Gas,Scheduled,QLD
BARKIPS1,282293.884433,148117.217844744,282293.884433,Gen,Barker Inlet Power Station,Gas,Scheduled,SA
BARRON-1,129084.414723,63544.7660109822,105246.192707,Gen,Barron Gorge,Hydro,Scheduled,QLD
BARRON-2,128062.939713,63530.5463752789,105246.192707,Gen,Barron Gorge,Hydro,Scheduled,QLD
BASTYAN,269609.850252,250521.18955285,264590.034752,Gen,Bastyan,Hydro,Scheduled,TAS
BBTHREE1,264588.76586,220749.023401522,264590.034752,Gen,Tamar Valley Peaking,Gas,Scheduled,TAS
BBTHREE2,264588.76586,220749.023401522,264590.034752,Gen,Tamar Valley Peaking,Gas,Scheduled,TAS
BBTHREE3,264588.76586,220749.023401522,264590.034752,Gen,Tamar Valley Peaking,Gas,Scheduled,TAS
BDL01,187283.938836,151078.842735979,185916.339906,Gen,Bairnsdale,Gas,Scheduled,VIC
BDL02,187283.938836,151078.842735979,185916.339906,Gen,Bairnsdale,Gas,Scheduled,VIC
BERYLSF1,88685.333594,88470.670374,88703.045594,Gen,Beryl Solar Farm,Solar,Semi-scheduled,NSW
BLOWERNG,115553.088361,113888.619766614,88703.045594,Gen,Blowering,Hydro,Scheduled,NSW
