quarter,station,profit_rrp,profit_rrp30,profit_lmp,profit_lmp_mc,region
1,Ballarat Battery Energy Storage System,731279.562793238,708692.464215845,520601.854920671,534904.000195596,VIC
1,Dalrymple North BESS,97525.505980636,63330.4434018387,109294.877726175,97843.3063032782,SA
1,Gannawarra Energy Storage System,926512.03169075,918756.410225014,393131.3000545,431256.679881,VIC
1,Hornsdale Power Reserve,2128669.83681167,2075894.48730556,1847377.86342392,1882319.12655808,SA
2,Ballarat Battery Energy Storage System,62324.499853807,56166.6725901289,62606.0677371404,62328.4374924987,VIC
2,Dalrymple North BESS,-45667.9226621095,-46061.0555435204,-43310.8860447438,-47699.5076032324,SA
2,Gannawarra Energy Storage System,254150.238230842,238810.117017318,251114.883722517,250947.684235312,VIC
2,Hornsdale Power Reserve,-6552.4509526295,-27662.6213159007,-48492.6244476295,-47317.1291029628,SA
3,Ballarat Battery Energy Storage System,127731.622342033,95956.372701149,129766.274867033,126048.436331592,VIC
3,Dalrymple North BESS,17414.4616390507,14268.5084869634,30436.3502559339,7767.6939576562,SA
3,Gannawarra Energy Storage System,352681.357103484,295641.602129886,349022.315087867,344416.850147248,VIC
3,Hornsdale Power Reserve,677097.804856171,626143.852028033,754193.598272104,395726.918766151,SA
4,Ballarat Battery Energy Storage System,80249.6629848569,46195.4515311503,81064.6301515236,78685.0957635153,VIC
4,Dalrymple North BESS,104416.927665283,102725.912499369,109912.459941137,93160.7722934962,SA
4,Gannawarra Energy Storage System,115704.077378019,81226.5090712368,104175.492750905,101952.611201569,VIC
4,Hornsdale Power Reserve,856435.622795403,791007.814715173,916226.921784869,573707.438048674,SA
