duid,alpha,beta,type,station,fuel_type,schedule_type,region
ARWF1,35.5507156651162,0.892294979080873,Gen,Ararat Wind Farm,Wind,Semi-scheduled,VIC
BALBG1,67.6549407830682,0.687094834385231,Gen,Ballarat Battery Energy Storage System,Battery (Discharge),Scheduled,VIC
BALDHWF1,48.6014678441707,0.678170908761961,Gen,Bald Hills Wind Farm,Wind,Semi-scheduled,VIC
BARRON-1,-157.098733090799,2.44135066815689,Gen,Barron Gorge,Hydro,Scheduled,QLD
BARRON-2,-115.111187700463,1.99617774748834,Gen,Barron Gorge,Hydro,Scheduled,QLD
BLOWERNG,56.5271445079353,0.462134976109581,Gen,Blowering,Hydro,Scheduled,NSW
BLUFF1,-187.847506484044,2.53800895622942,Gen,The Bluff Wind Farm,Wind,Semi-scheduled,SA
BOCORWF1,48.5015029838125,0.531258019915133,Gen,Boco Rock Wind Farm,Wind,Semi-scheduled,NSW
BODWF1,48.1891388869744,0.507461701097804,Gen,Bodangora Wind Farm,Wind,Semi-scheduled,NSW
BW01,50.7086761599624,0.480883302867139,Gen,Bayswater,Black Coal,Scheduled,NSW
BW02,51.4379460865672,0.468088830093143,Gen,Bayswater,Black Coal,Scheduled,NSW
BW03,47.80463104083,0.515673095470217,Gen,Bayswater,Black Coal,Scheduled,NSW
BW04,27.7248665539829,0.700839777904404,Gen,Bayswater,Black Coal,Scheduled,NSW
CALL_B_1,-165.656245022761,2.64387947056366,Gen,Callide,Black Coal,Scheduled,QLD
CALL_B_2,-153.024428821669,2.55190882756497,Gen,Callide,Black Coal,Scheduled,QLD
CLEMGPWF,-189.359944504677,2.63755422280723,Gen,Clements Gap Wind Farm,Wind,Semi-scheduled,SA
CPP_3,-107.454836875798,1.99864392132238,Gen,Callide,Black Coal,Scheduled,QLD
CPP_4,-148.766052118244,2.51557252302623,Gen,Callide,Black Coal,Scheduled,QLD
CPSA,36.5787066968333,0.491824561402995,Gen,Condamine,Gas,Scheduled,QLD
CROWLWF1,25.1445021688306,0.924146471054568,Gen,Crowlands Wind Farm,Wind,Semi-scheduled,VIC
CSPVPS1,-188.497176050544,2.77245881849257,Gen,Collinsville Solar PV,Solar,Semi-scheduled,QLD
DALNTHL1,18.0179534497506,0.834761078054712,Load,Dalrymple North BESS,Battery (Charge),Scheduled,SA
EILDON2,51.5329153025499,0.676338725868565,Gen,Eildon,Hydro,Scheduled,VIC
ER01,32.2828314597024,0.669674633488635,Gen,Eraring,Black Coal,Scheduled,NSW
ER02,49.0785882926605,0.509152809911039,Gen,Eraring,Black Coal,Scheduled,NSW
ER03,24.9614456512964,0.723646063391585,Gen,Eraring,Black Coal,Scheduled,NSW
ER04,48.7022275527477,0.512498151181807,Gen,Eraring,Black Coal,Scheduled,NSW
GORDON,57.3059762246729,0.513325563646503,Gen,Gordon,Hydro,Scheduled,TAS
GSTONE1,-140.060186248092,2.3923991743757,Gen,Gladstone,Black Coal,Scheduled,QLD
GSTONE2,-167.518432319288,2.78358068927792,Gen,Gladstone,Black Coal,Scheduled,QLD
GSTONE3,-169.161996917007,2.5853200087607,Gen,Gladstone,Black Coal,Scheduled,QLD
GSTONE6,-149.508651687263,2.47694668758328,Gen,Gladstone,Black Coal,Scheduled,QLD
GULLRWF1,48.3998957969867,0.527355143940907,Gen,Gullen Range Wind Farm,Wind,Semi-scheduled,NSW
HALLWF1,-188.808646691186,2.55872085254645,Gen,Hallett Wind Farm,Wind,Semi-scheduled,SA
HALLWF2,-190.73631988478,2.58760727188893,Gen,Hallett Wind Farm,Wind,Semi-scheduled,SA
HDWF1,-173.632306093548,2.44984431778169,Gen,Hornsdale Wind Farm,Wind,Semi-scheduled,SA
HDWF2,-175.000262803785,2.45742256630202,Gen,Hornsdale Wind Farm,Wind,Semi-scheduled,SA
HDWF3,-174.277357498482,2.46355405799698,Gen,Hornsdale Wind Farm,Wind,Semi-scheduled,SA
HUMENSW,32.244496692479,0.799187425324187,Gen,Hume Hydro,Hydro,Scheduled,NSW
JLA01,47.5150621184209,0.692613486730078,Gen,Jeeralang A,Gas,Scheduled,VIC
JLA04,7.69613837632393,1.1561958768011,Gen,Jeeralang A,Gas,Scheduled,VIC
JLB01,20.5674003748766,0.953818407830929,Gen,Jeeralang B,Gas,Scheduled,VIC
JLB02,47.977449398234,0.69036021948401,Gen,Jeeralang B,Gas,Scheduled,VIC
KAREEYA1,-155.188692261531,2.47378120720634,Gen,Kareeya,Hydro,Scheduled,QLD
KAREEYA2,-171.175414095541,2.62233463242739,Gen,Kareeya,Hydro,Scheduled,QLD
KAREEYA3,-17.3792043153295,1.04331709675195,Gen,Kareeya,Hydro,Scheduled,QLD
KAREEYA4,-143.47011635291,2.43721462772064,Gen,Kareeya,Hydro,Scheduled,QLD
KIATAWF1,31.9879799023494,0.915824088780623,Gen,Kiata Wind Farm,Wind,Semi-scheduled,VIC
KPP_1,30.7887808622051,0.567368171898032,Gen,Kogan Creek,Black Coal,Scheduled,QLD
LD01,47.2275000423048,0.532446589028252,Gen,Liddell,Black Coal,Scheduled,NSW
LD02,49.4402906820689,0.495405371983353,Gen,Liddell,Black Coal,Scheduled,NSW
LD03,48.7711562325134,0.513369911375319,Gen,Liddell,Black Coal,Scheduled,NSW
LD04,53.7215346279841,0.491025381763636,Gen,Liddell,Black Coal,Scheduled,NSW
LI_WY_CA,56.216223487916,0.523831790226367,Gen,Liapootah Wayatinah Catagunya Aggregate,Hydro,Scheduled,TAS
LK_ECHO,88.0964246228113,0.249102095092491,Gen,Lake Echo,Hydro,Scheduled,TAS
LONSDALE,-89.2825132181764,2.36424718515115,Gen,Lonsdale,Liquid Fuel,Scheduled,SA
LOYYB1,48.8323171419306,0.667323824632303,Gen,Loy Yang B,Brown Coal,Scheduled,VIC
LOYYB2,48.9864086488555,0.680152477955758,Gen,Loy Yang B,Brown Coal,Scheduled,VIC
LYA1,47.2184350462935,0.680301662279726,Gen,Loy Yang A,Brown Coal,Scheduled,VIC
LYA2,18.9681042243345,0.99983460009881,Gen,Loy Yang A,Brown Coal,Scheduled,VIC
LYA3,47.1574558681045,0.678837249131746,Gen,Loy Yang A,Brown Coal,Scheduled,VIC
LYA4,43.4576018864176,0.737298024215864,Gen,Loy Yang A,Brown Coal,Scheduled,VIC
MCKAY1,51.9301950030779,0.601013871593474,Gen,McKay,Hydro,Scheduled,VIC
MEADOWBK,57.8235562592728,0.471456294747955,Gen,Meadowbank,Hydro,Scheduled,TAS
MERCER01,41.2938928227122,0.679903356651095,Gen,Mt Mercer Wind Farm,Wind,Semi-scheduled,VIC
MEWF1,-160.36925224598,2.5353631608554,Gen,Mount Emerald Wind Farm,Wind,Semi-scheduled,QLD
MP1,26.5254934320142,0.732832406017968,Gen,Mt Piper,Black Coal,Scheduled,NSW
MP2,39.2258425755879,0.58869036043926,Gen,Mt Piper,Black Coal,Scheduled,NSW
MPP_1,39.6047815176752,0.443266368305836,Gen,Millmerran,Black Coal,Scheduled,QLD
MPP_2,38.0408891500511,0.473518944565423,Gen,Millmerran,Black Coal,Scheduled,QLD
MTGELWF1,47.2882377548464,0.683518126955514,Gen,Mt Gellibrand Wind Farm,Wind,Semi-scheduled,VIC
MUSSELR1,17.4040294978028,0.498298127996843,Gen,Musselroe Wind Farm,Wind,Semi-scheduled,TAS
NBHWF1,-197.766229617378,2.6348558882388,Gen,North Brown Hill Wind Farm,Wind,Semi-scheduled,SA
OAKLAND1,28.1313091675747,0.695774922336165,Gen,Oaklands Hill Wind Farm,Wind,Semi-scheduled,VIC
POAT110,82.130117703383,0.358251223657207,Gen,Poatina,Hydro,Scheduled,TAS
POAT220,66.0374973130384,0.386374101408191,Gen,Poatina,Hydro,Scheduled,TAS
PPCCGT,26.4530802849536,0.827593180512815,Gen,Pelican Point,Gas,Scheduled,SA
SALTCRK1,48.9336347421557,0.667677692904673,Gen,Salt Creek Wind Farm,Wind,Semi-scheduled,VIC
SAPHWF1,47.1923086108636,0.462236151099876,Gen,Sapphire Wind Farm,Wind,Semi-scheduled,NSW
SITHE01,48.6562451352723,0.511217224068188,Gen,Smithfield Energy Facility,Gas,Scheduled,NSW
SNOWNTH1,-158.167493366496,2.36002891317636,Gen,Snowtown North Wind Farm,Wind,Semi-scheduled,SA
SNOWSTH1,-158.11898822992,2.36179741372821,Gen,Snowtown South Wind Farm,Wind,Semi-scheduled,SA
