duid,alpha,beta,type,station,fuel_type,schedule_type,region
ARWF1,-44.8847941241795,2.07244483394343,Gen,Ararat Wind Farm,Wind,Semi-scheduled,VIC
BALBG1,-41.4767020830355,2.00734921862617,Gen,Ballarat Battery Energy Storage System,Battery (Discharge),Scheduled,VIC
BALDHWF1,-86.404861245279,2.67164358146281,Gen,Bald Hills Wind Farm,Wind,Semi-scheduled,VIC
BARRON-1,13.389006600774,0.240584305774708,Gen,Barron Gorge,Hydro,Scheduled,QLD
BARRON-2,35.3540906966716,0.171697017018653,Gen,Barron Gorge,Hydro,Scheduled,QLD
BLOWERNG,38.3662586337993,0.733889256265612,Gen,Blowering,Hydro,Scheduled,NSW
BLUFF1,-212.100363302527,2.90851545351491,Gen,The Bluff Wind Farm,Wind,Semi-scheduled,SA
BOCORWF1,47.3479434867699,0.545714329792068,Gen,Boco Rock Wind Farm,Wind,Semi-scheduled,NSW
BODWF1,68.6062135527974,0.206046970806067,Gen,Bodangora Wind Farm,Wind,Semi-scheduled,NSW
BW01,70.0720282802901,0.196803897621468,Gen,Bayswater,Black Coal,Scheduled,NSW
BW02,69.452388039232,0.194728757178661,Gen,Bayswater,Black Coal,Scheduled,NSW
BW03,68.7606326689422,0.207071043525622,Gen,Bayswater,Black Coal,Scheduled,NSW
BW04,66.9873167316764,0.196037045080644,Gen,Bayswater,Black Coal,Scheduled,NSW
CALL_B_1,-7.22318012683351,0.362770334929043,Gen,Callide,Black Coal,Scheduled,QLD
CALL_B_2,-2.88116149174984,0.361476941197606,Gen,Callide,Black Coal,Scheduled,QLD
CLEMGPWF,-204.462867481324,2.8615233518368,Gen,Clements Gap Wind Farm,Wind,Semi-scheduled,SA
CPP_3,25.0493829068128,0.217864635283252,Gen,Callide,Black Coal,Scheduled,QLD
CPP_4,-2.38574489469166,0.360410564663736,Gen,Callide,Black Coal,Scheduled,QLD
CPSA,66.0222129101838,0.0780131588425556,Gen,Condamine,Gas,Scheduled,QLD
CROWLWF1,-54.3181254758244,2.08076152537495,Gen,Crowlands Wind Farm,Wind,Semi-scheduled,VIC
CSPVPS1,-21.67284355148,0.321674479021525,Gen,Collinsville Solar PV,Solar,Semi-scheduled,QLD
DALNTHL1,-104.521931918245,2.65075922801316,Load,Dalrymple North BESS,Battery (Charge),Scheduled,SA
EILDON2,-50.7155947768849,2.0212466981987,Gen,Eildon,Hydro,Scheduled,VIC
ER01,65.2424386189622,0.209666504371086,Gen,Eraring,Black Coal,Scheduled,NSW
ER02,69.6469732874169,0.207672239963285,Gen,Eraring,Black Coal,Scheduled,NSW
ER03,64.9671643070579,0.19964406856771,Gen,Eraring,Black Coal,Scheduled,NSW
ER04,66.6400839341738,0.248286427011096,Gen,Eraring,Black Coal,Scheduled,NSW
GORDON,86.3095844660121,0.10907663035373,Gen,Gordon,Hydro,Scheduled,TAS
GSTONE1,5.95856330421588,0.298427943724398,Gen,Gladstone,Black Coal,Scheduled,QLD
GSTONE2,-42.7792342382564,0.861592557638137,Gen,Gladstone,Black Coal,Scheduled,QLD
