duid,alpha_mc,beta_mc,type,station,fuel_type,schedule_type,region
BERYLSF1,0.00753664459842024,0.999938914289663,Gen,Beryl Solar Farm,Solar,Semi-scheduled,NSW
BLOWERNG,6.25841550631818,0.971895962617188,Gen,Blowering,Hydro,Scheduled,NSW
BOCORWF1,2.22811843919986,1.00580762048702,Gen,Boco Rock Wind Farm,Wind,Semi-scheduled,NSW
BODWF1,0.0411510465958074,0.998987601386055,Gen,Bodangora Wind Farm,Wind,Semi-scheduled,NSW
BROKENH1,28.3060049300656,0.982983735072575,Gen,Broken Hill Solar Plant,Solar,Semi-scheduled,NSW
BW01,0.272248035262318,0.997476438074288,Gen,Bayswater,Black Coal,Scheduled,NSW
BW02,0.272248035262318,0.997476438074288,Gen,Bayswater,Black Coal,Scheduled,NSW
BW03,0.266947833211242,0.997658526954081,Gen,Bayswater,Black Coal,Scheduled,NSW
BW04,0.266947833211242,0.997658526954081,Gen,Bayswater,Black Coal,Scheduled,NSW
CG1,40.3538243845012,0.932647471616195,Gen,Colongra,Gas,Scheduled,NSW
CG2,40.3538243845012,0.932647471616195,Gen,Colongra,Gas,Scheduled,NSW
CG3,40.3538243845012,0.932647471616195,Gen,Colongra,Gas,Scheduled,NSW
CG4,40.3538243845012,0.932647471616195,Gen,Colongra,Gas,Scheduled,NSW
COLEASF1,4.41045661923748,0.990410833426461,Gen,Coleambally Solar Farm,Solar,Semi-scheduled,NSW
CROOKWF2,2.2638272102324,1.00534982137178,Gen,Crookwell 2 Wind Farm,Wind,Semi-scheduled,NSW
ER01,1.9422600387312,0.990816089728856,Gen,Eraring,Black Coal,Scheduled,NSW
ER02,1.9422600387312,0.990816089728856,Gen,Eraring,Black Coal,Scheduled,NSW
ER03,1.93949808431448,0.99099847165285,Gen,Eraring,Black Coal,Scheduled,NSW
ER04,1.93949808431448,0.99099847165285,Gen,Eraring,Black Coal,Scheduled,NSW
FINLYSF1,-3.38459277570096,1.00470155152854,Gen,Finely Solar Farm,Solar,Semi-scheduled,NSW
GULLRSF1,2.24705279304351,1.0054340191782,Gen,Gullen Solar Farm,Solar,Semi-scheduled,NSW
GULLRWF1,2.2149783320317,1.00531779931757,Gen,Gullen Range Wind Farm,Wind,Semi-scheduled,NSW
GUNNING1,3.32725201338495,0.990197599595168,Gen,Gunning Wind Farm,Wind,Semi-scheduled,NSW
GUTHEGA,-4.90836175570989,1.00308059773509,Gen,Guthega,Hydro,Scheduled,NSW
HUMENSW,26.1566283719049,0.987281433807375,Gen,Hume Hydro,Hydro,Scheduled,NSW
HVGTS,54.797561199359,0.914691179682626,Gen,Hunter Valley GT,Gas,Scheduled,NSW
LD01,0.297122204118704,0.997311794619105,Gen,Liddell,Black Coal,Scheduled,NSW
LD02,0.297122204118704,0.997311794619105,Gen,Liddell,Black Coal,Scheduled,NSW
LD03,0.297122204118704,0.997311794619105,Gen,Liddell,Black Coal,Scheduled,NSW
LD04,0.297122204118704,0.997311794619105,Gen,Liddell,Black Coal,Scheduled,NSW
LIMOSF21,0.00646616917090488,0.999950642778413,Gen,Limondale Solar Farm 2,Solar,Semi-scheduled,NSW
MANSLR1,0.0306142437450661,0.999151135252827,Gen,Manildra Solar Farm,Solar,Semi-scheduled,NSW
MOREESF1,-0.0922784528642647,0.99093145411875,Gen,Moree Solar Farm,Solar,Semi-scheduled,NSW
MP1,1.59982035017754,0.992887550491579,Gen,Mt Piper,Black Coal,Scheduled,NSW
MP2,1.59982035017754,0.992887550491579,Gen,Mt Piper,Black Coal,Scheduled,NSW
NEVERSF1,0.00876811865599462,0.999944226162913,Gen,NEVERTIRE SOLAR FARM,Solar,Semi-scheduled,NSW
NYNGAN1,0.0321883794426986,0.999110979773256,Gen,Nyngan Solar Plant,Solar,Semi-scheduled,NSW
PARSF1,0.0298083395331244,0.999169047999313,Gen,Parkes Solar Farm,Solar,Semi-scheduled,NSW
SAPHWF1,50.5056876639897,0.348670090953963,Gen,Sapphire Wind Farm,Wind,Semi-scheduled,NSW
SHGEN,0.0653181795024663,0.999289997407037,Gen,Shoalhaven,Pumped Hydro (Release),Scheduled,NSW
SHPUMP,0.0653181795024663,0.999289997407037,Load,Shoalhaven,Pumped Hydro (Pumping),Scheduled,NSW
SITHE01,17.9746428669179,0.957118430565036,Gen,Smithfield Energy Facility,Gas,Scheduled,NSW
SNOWYP,11.3023395008054,0.975095401131432,Load,Tumut 3,Pumped Hydro (Pumping),Scheduled,NSW
STWF1,28.2554381891704,0.966002282169051,Gen,Silverton Wind Farm,Wind,Semi-scheduled,NSW
TALWA1,8.69729943394135,0.974568885636202,Gen,Tallawarra,Gas,Scheduled,NSW
TARALGA1,2.24961213389212,1.00503220017135,Gen,Taralga Wind Farm,Wind,Semi-scheduled,NSW
TUMUT3,11.2419206913486,0.975160569500279,Gen,Tumut 3,Pumped Hydro (Release),Scheduled,NSW
UPPTUMUT,11.4944031697195,1.03426324450021,Gen,Upper Tumut,Hydro,Scheduled,NSW
URANQ11,54.2129831113601,0.945082932892201,Gen,Uranquinty,Gas,Scheduled,NSW
URANQ12,54.2129831113601,0.945082932892201,Gen,Uranquinty,Gas,Scheduled,NSW
URANQ13,54.2129831113601,0.945082932892201,Gen,Uranquinty,Gas,Scheduled,NSW
URANQ14,54.2129831113601,0.945082932892201,Gen,Uranquinty,Gas,Scheduled,NSW
VP5,1.27833277852858,0.992986774115801,Gen,Vales Point B,Black Coal,Scheduled,NSW
VP6,1.27833277852858,0.992986774115801,Gen,Vales Point B,Black Coal,Scheduled,NSW
WOODLWN1,2.23232513374891,1.00568717612314,Gen,Woodlawn Wind Farm,Wind,Semi-scheduled,NSW
WRSF1,-0.14077581162617,0.992104277382411,Gen,White Rock Solar Farm,Solar,Semi-scheduled,NSW
WRWF1,-0.113714670554816,0.992026309546755,Gen,White Rock Wind Farm,Wind,Semi-scheduled,NSW
BARCALDN,79.5615138705059,0.122398340100057,Gen,Barcaldine,Gas,Scheduled,QLD
BARRON-1,53.7005186135483,0.180224228199294,Gen,Barron Gorge,Hydro,Scheduled,QLD
BARRON-2,53.7011321667638,0.180224226602025,Gen,Barron Gorge,Hydro,Scheduled,QLD
BRAEMAR1,98.0266485721131,0.178505846826741,Gen,Braemar 1,Gas,Scheduled,QLD
BRAEMAR2,98.0266485721131,0.178505846826741,Gen,Braemar 1,Gas,Scheduled,QLD
BRAEMAR3,98.0266485721131,0.178505846826741,Gen,Braemar 1,Gas,Scheduled,QLD
BRAEMAR5,98.0266485721131,0.178505846826741,Gen,Braemar 2,Gas,Scheduled,QLD
BRAEMAR6,98.0266485721131,0.178505846826741,Gen,Braemar 2,Gas,Scheduled,QLD
BRAEMAR7,98.0266485721131,0.178505846826741,Gen,Braemar 2,Gas,Scheduled,QLD
CALL_A_2,13.5919091932824,0.852320505489073,Gen,Callide,Black Coal,Scheduled,QLD
CALL_B_1,55.8474445299212,0.181138570770464,Gen,Callide,Black Coal,Scheduled,QLD
CALL_B_2,55.8474445299212,0.181138570770464,Gen,Callide,Black Coal,Scheduled,QLD
CHILDSF1,55.2536123464867,0.215621768112573,Gen,Childers Solar Farm,Solar,Semi-scheduled,QLD
