duid,alpha,beta,type,station,fuel_type,schedule_type,region
BERYLSF1,-0.00123147404811538,0.999994688126639,Gen,Beryl Solar Farm,Solar,Semi-scheduled,NSW
BLOWERNG,6.17119940034653,0.97227501588373,Gen,Blowering,Hydro,Scheduled,NSW
BOCORWF1,2.20266412583032,1.00594695660631,Gen,Boco Rock Wind Farm,Wind,Semi-scheduled,NSW
BODWF1,-0.0779266681851417,0.998875969821776,Gen,Bodangora Wind Farm,Wind,Semi-scheduled,NSW
BROKENH1,-10.2394512670568,0.985558918045313,Gen,Broken Hill Solar Plant,Solar,Semi-scheduled,NSW
BW01,0.0415344269240345,0.998552085728519,Gen,Bayswater,Black Coal,Scheduled,NSW
BW02,0.0415344269240345,0.998552085728519,Gen,Bayswater,Black Coal,Scheduled,NSW
BW03,0.0352853471921113,0.998762419804292,Gen,Bayswater,Black Coal,Scheduled,NSW
BW04,0.0352853471921113,0.998762419804292,Gen,Bayswater,Black Coal,Scheduled,NSW
CG1,-0.13604894135663,1.0043924747403,Gen,Colongra,Gas,Scheduled,NSW
CG2,-0.13604894135663,1.0043924747403,Gen,Colongra,Gas,Scheduled,NSW
CG3,-0.13604894135663,1.0043924747403,Gen,Colongra,Gas,Scheduled,NSW
CG4,-0.13604894135663,1.0043924747403,Gen,Colongra,Gas,Scheduled,NSW
COLEASF1,-68.4734444737247,1.14661294992424,Gen,Coleambally Solar Farm,Solar,Semi-scheduled,NSW
CROOKWF2,2.23831326175142,1.0054878116646,Gen,Crookwell 2 Wind Farm,Wind,Semi-scheduled,NSW
ER01,0.0854676597929897,0.997018252773374,Gen,Eraring,Black Coal,Scheduled,NSW
ER02,0.0854676597929897,0.997018252773374,Gen,Eraring,Black Coal,Scheduled,NSW
ER03,0.0502709729482127,0.99814821297092,Gen,Eraring,Black Coal,Scheduled,NSW
ER04,0.0502709729482127,0.99814821297092,Gen,Eraring,Black Coal,Scheduled,NSW
FINLYSF1,-22.3751150713882,1.05067678701496,Gen,Finely Solar Farm,Solar,Semi-scheduled,NSW
GULLRSF1,2.23828934370811,1.00548852633557,Gen,Gullen Solar Farm,Solar,Semi-scheduled,NSW
GULLRWF1,2.18798456742591,1.00545490299891,Gen,Gullen Range Wind Farm,Wind,Semi-scheduled,NSW
GUNNING1,1.8515965659846,0.98894126562653,Gen,Gunning Wind Farm,Wind,Semi-scheduled,NSW
GUTHEGA,-6.72165175122491,1.00045675448462,Gen,Guthega,Hydro,Scheduled,NSW
HUMENSW,25.8435470805487,0.988259144267921,Gen,Hume Hydro,Hydro,Scheduled,NSW
HVGTS,0.0438033555767399,0.998474006650992,Gen,Hunter Valley GT,Gas,Scheduled,NSW
LD01,0.0438033555767399,0.998474006650992,Gen,Liddell,Black Coal,Scheduled,NSW
LD02,0.0438033555767399,0.998474006650992,Gen,Liddell,Black Coal,Scheduled,NSW
LD03,0.0438033555767399,0.998474006650992,Gen,Liddell,Black Coal,Scheduled,NSW
LD04,0.0438033555767399,0.998474006650992,Gen,Liddell,Black Coal,Scheduled,NSW
LIMOSF21,-0.00243915243484149,1.00000679814068,Gen,Limondale Solar Farm 2,Solar,Semi-scheduled,NSW
MANSLR1,0.0218461250999442,0.999206909089786,Gen,Manildra Solar Farm,Solar,Semi-scheduled,NSW
MM3,6.95679455509458e-12,0.999999999999918,Gen,Munmorah,Black Coal,Scheduled,NSW
MM4,6.95679455509458e-12,0.999999999999918,Gen,Munmorah,Black Coal,Scheduled,NSW
MOREESF1,-2.79907181190668,0.970926499033839,Gen,Moree Solar Farm,Solar,Semi-scheduled,NSW
MP1,0.02085840013676,0.999257139117215,Gen,Mt Piper,Black Coal,Scheduled,NSW
MP2,0.02085840013676,0.999257139117215,Gen,Mt Piper,Black Coal,Scheduled,NSW
NEVERSF1,6.95679455509458e-12,0.999999999999918,Gen,NEVERTIRE SOLAR FARM,Solar,Semi-scheduled,NSW
NYNGAN1,0.0234202607988335,0.999166753610199,Gen,Nyngan Solar Plant,Solar,Semi-scheduled,NSW
PARSF1,0.0210402209191398,0.999224821835904,Gen,Parkes Solar Farm,Solar,Semi-scheduled,NSW
SAPHWF1,50.0281427282054,0.349506143804214,Gen,Sapphire Wind Farm,Wind,Semi-scheduled,NSW
SHGEN,0.00581730686807798,0.999599549136427,Gen,Shoalhaven,Pumped Hydro (Release),Scheduled,NSW
SHPUMP,-0.00581730683239636,1.00040045086315,Load,Shoalhaven,Pumped Hydro (Pumping),Scheduled,NSW
SITHE01,6.95679455509458e-12,0.999999999999918,Gen,Smithfield Energy Facility,Gas,Scheduled,NSW
SNOWYP,-7.87668463305167,1.04438448286724,Load,Tumut 3,Pumped Hydro (Pumping),Scheduled,NSW
STWF1,-18.2486648191467,0.934504579735693,Gen,Silverton Wind Farm,Wind,Semi-scheduled,NSW
TALWA1,0.0142029983950884,0.99949235250576,Gen,Tallawarra,Gas,Scheduled,NSW
TARALGA1,2.00929844718502,1.00382463455909,Gen,Taralga Wind Farm,Wind,Semi-scheduled,NSW
TUMUT3,11.1425565799578,0.975477623234645,Gen,Tumut 3,Pumped Hydro (Release),Scheduled,NSW
UPPTUMUT,11.4123021542363,1.03456510128346,Gen,Upper Tumut,Hydro,Scheduled,NSW
URANQ11,18.947367931661,1.0085955844474,Gen,Uranquinty,Gas,Scheduled,NSW
URANQ12,18.9734843387604,1.00865937363606,Gen,Uranquinty,Gas,Scheduled,NSW
URANQ13,18.9196326046584,1.00855035343142,Gen,Uranquinty,Gas,Scheduled,NSW
URANQ14,18.947367931661,1.0085955844474,Gen,Uranquinty,Gas,Scheduled,NSW
VP5,0.126227038290005,0.995760535289838,Gen,Vales Point B,Black Coal,Scheduled,NSW
VP6,0.126227038290005,0.995760535289838,Gen,Vales Point B,Black Coal,Scheduled,NSW
WOODLWN1,2.15844540568524,1.00572281233004,Gen,Woodlawn Wind Farm,Wind,Semi-scheduled,NSW
WRSF1,-0.153818489644689,0.992115906555346,Gen,White Rock Solar Farm,Solar,Semi-scheduled,NSW
WRWF1,-0.153818489644689,0.992115906555346,Gen,White Rock Wind Farm,Wind,Semi-scheduled,NSW
WW7,6.95679455509458e-12,0.999999999999918,Gen,Wallerawang,Black Coal,Scheduled,NSW
WW8,6.95679455509458e-12,0.999999999999918,Gen,Wallerawang,Black Coal,Scheduled,NSW
BARCALDN,16.3109322324857,0.129028719844657,Gen,Barcaldine,Gas,Scheduled,QLD
BARRON-1,16.3916735702512,0.129279200518967,Gen,Barron Gorge,Hydro,Scheduled,QLD
BARRON-2,16.4018708712677,0.12927917397237,Gen,Barron Gorge,Hydro,Scheduled,QLD
BRAEMAR1,44.6580861280108,0.364959860755352,Gen,Braemar 1,Gas,Scheduled,QLD
BRAEMAR2,44.6580861280108,0.364959860755352,Gen,Braemar 1,Gas,Scheduled,QLD
BRAEMAR3,44.6580861280108,0.364959860755352,Gen,Braemar 1,Gas,Scheduled,QLD
BRAEMAR5,44.6580861280108,0.364959860755352,Gen,Braemar 2,Gas,Scheduled,QLD
BRAEMAR6,44.6580861280108,0.364959860755352,Gen,Braemar 2,Gas,Scheduled,QLD
BRAEMAR7,44.6580861280108,0.364959860755352,Gen,Braemar 2,Gas,Scheduled,QLD
CALL_A_2,-5.37468482562952e-12,1.00000000000007,Gen,Callide,Black Coal,Scheduled,QLD
CALL_B_1,16.293227545032,0.144595786127882,Gen,Callide,Black Coal,Scheduled,QLD
CALL_B_2,16.293227545032,0.144595786127882,Gen,Callide,Black Coal,Scheduled,QLD
CHILDSF1,47.9229487968045,0.244077228267159,Gen,Childers Solar Farm,Solar,Semi-scheduled,QLD
CLARESF1,16.5261904987971,0.131873490730428,Gen,Clare Solar Farm,Solar,Semi-scheduled,QLD
CLERMSF1,13.5439757544606,0.23233749926466,Gen,Clermont Solar Farm,Solar,Semi-scheduled,QLD
COLNSV_1,-5.37468482562952e-12,1.00000000000007,Gen,Collinsville,Black Coal,Scheduled,QLD
COLNSV_2,-5.37468482562952e-12,1.00000000000007,Gen,Collinsville,Black Coal,Scheduled,QLD
COLNSV_3,-5.37468482562952e-12,1.00000000000007,Gen,Collinsville,Black Coal,Scheduled,QLD
COLNSV_4,-5.37468482562952e-12,1.00000000000007,Gen,Collinsville,Black Coal,Scheduled,QLD
COLNSV_5,-5.37468482562952e-12,1.00000000000007,Gen,Collinsville,Black Coal,Scheduled,QLD
COOPGWF1,44.7053413716967,0.364238505819956,Gen,Coopers Gap Wind Farm,Wind,Semi-scheduled,QLD
CPP_3,16.293227545032,0.144595786127882,Gen,Callide,Black Coal,Scheduled,QLD
CPP_4,16.293227545032,0.144595786127882,Gen,Callide,Black Coal,Scheduled,QLD
CPSA,44.6619057755815,0.364842579425535,Gen,Condamine,Gas,Scheduled,QLD
CSPVPS1,3.59613794304874,0.187118979021821,Gen,Collinsville Solar PV,Solar,Semi-scheduled,QLD
DAYDSF1,16.4045207367439,0.129744403798548,Gen,Daydream Solar Farm,Solar,Semi-scheduled,QLD
DDPS1,44.6546548537925,0.365061705956731,Gen,Darling Downs,Gas,Scheduled,QLD
DDSF1,44.6546548537925,0.365061705956731,Gen,Darling Downs Solar Farm,Solar,Semi-scheduled,QLD
EMERASF1,15.0790135021501,0.131443661423787,Gen,Emerald Solar Park,Solar,Semi-scheduled,QLD
GSTONE1,16.7343187027948,0.104722685572532,Gen,Gladstone,Black Coal,Scheduled,QLD
GSTONE2,16.7343187027948,0.104722685572532,Gen,Gladstone,Black Coal,Scheduled,QLD
GSTONE3,14.3738991601092,0.0443806969758988,Gen,Gladstone,Black Coal,Scheduled,QLD
GSTONE4,14.3738991601092,0.0443806969758988,Gen,Gladstone,Black Coal,Scheduled,QLD
GSTONE5,16.7343187027948,0.104722685572532,Gen,Gladstone,Black Coal,Scheduled,QLD
GSTONE6,16.7142254432528,0.104103264825288,Gen,Gladstone,Black Coal,Scheduled,QLD
HAMISF1,16.3089616970851,0.129696842774749,Gen,Hamilton Solar Farm,Solar,Semi-scheduled,QLD
