duid,alpha_mc,beta_mc,profit_lmp,profit_lmp_mc,profit_rrp,profit_lmp_90,profit_lmp_mc_90,profit_rrp_90,type,station,fuel_type,schedule_type,region,station_name,lat,lon,dispatch_type,classification,alpha_mc_percentile,beta_mc_percentile,profit_lmp_percentile,profit_lmp_mc_percentile,profit_lmp_90_percentile,profit_lmp_mc_90_percentile
BERYLSF1,0.00753664459842024,0.999938914289663,99672.55835,99457.89513,99692.23835,88685.333594,88470.670374,88703.045594,Gen,Beryl Solar Farm,Solar,Semi-scheduled,NSW,,,,,,3,96,6,40,6,41
BLOWERNG,6.25841550631818,0.971895962617188,129488.21665,127823.748055614,99692.23835,115553.088361,113888.619766614,88703.045594,Gen,Blowering,Hydro,Scheduled,NSW,Blowering Power Station,-35.3986009999999,148.246272,Generator,Scheduled,31,61,32,48,31,48
BOCORWF1,2.22811843919986,1.00580762048702,111835.87309,111461.681821427,99692.23835,99565.457982,99191.2667134267,88703.045594,Gen,Boco Rock Wind Farm,Wind,Semi-scheduled,NSW,Boco Rock Wind Farm,-36.591414216,149.129675116,Generator,Semi-Scheduled,22,100,22,45,22,46
BODWF1,0.0411510465958074,0.998987601386055,101426.26185,99021.8511865757,99692.23835,90469.706318,88065.2956545757,88703.045594,Gen,Bodangora Wind Farm,Wind,Semi-scheduled,NSW,,,,,,5,90,18,38,12,39
BROKENH1,28.3060049300656,0.982983735072575,335115.35524,246120.75868,99692.23835,309651.687895,220657.091335,88703.045594,Gen,Broken Hill Solar Plant,Solar,Semi-scheduled,NSW,Broken Hill Solar Plant,-31.9867074269999,141.391545512,Generator,Semi-Scheduled,56,68,92,90,91,90
BW01,0.272248035262318,0.997476438074288,99529.50742,96913.6532374233,99692.23835,88577.378696,85961.5245134233,88703.045594,Gen,Bayswater,Black Coal,Scheduled,NSW,Bayswater Power Station,-32.39527,150.94913,Generator,Scheduled,6,84,4,36,4,38
BW02,0.272248035262318,0.997476438074288,99529.50742,96913.6532374233,99692.23835,88577.378696,85961.5245134233,88703.045594,Gen,Bayswater,Black Coal,Scheduled,NSW,Bayswater Power Station,-32.39527,150.94913,Generator,Scheduled,7,85,4,37,4,38
BW03,0.266947833211242,0.997658526954081,99471.7155,96927.7813174233,99692.23835,88518.173968,85974.2397854233,88703.045594,Gen,Bayswater,Black Coal,Scheduled,NSW,Bayswater Power Station,-32.39527,150.94913,Generator,Scheduled,6,85,3,37,3,38
BW04,0.266947833211242,0.997658526954081,99471.7155,96927.7813174233,99692.23835,88518.173968,85974.2397854233,88703.045594,Gen,Bayswater,Black Coal,Scheduled,NSW,Bayswater Power Station,-32.39527,150.94913,Generator,Scheduled,6,85,4,37,3,39
CG1,40.3538243845012,0.932647471616195,101963.1766,71823.158195434,99692.23835,90746.890019,60570.3405602824,88703.045594,Gen,Colongra,Gas,Scheduled,NSW,Colongra Power Station,-33.209869,151.544785,Generator,Scheduled,59,46,19,14,12,12
CG2,40.3538243845012,0.932647471616195,101963.1766,71823.158195434,99692.23835,90746.890019,60570.3405602824,88703.045594,Gen,Colongra,Gas,Scheduled,NSW,Colongra Power Station,-33.209869,151.544785,Generator,Scheduled,59,47,19,14,13,12
CG3,40.3538243845012,0.932647471616195,101963.1766,71823.158195434,99692.23835,90746.890019,60570.3405602824,88703.045594,Gen,Colongra,Gas,Scheduled,NSW,Colongra Power Station,-33.209869,151.544785,Generator,Scheduled,59,47,19,15,13,13
CG4,40.3538243845012,0.932647471616195,101963.1766,71823.158195434,99692.23835,90746.890019,60570.3405602824,88703.045594,Gen,Colongra,Gas,Scheduled,NSW,Colongra Power Station,-33.209869,151.544785,Generator,Scheduled,60,47,20,15,13,13
COLEASF1,4.41045661923748,0.990410833426461,260704.60352,182015.52282,99692.23835,241582.742826,162893.662126,88703.045594,Gen,Coleambally Solar Farm,Solar,Semi-scheduled,NSW,,,,,,29,75,70,64,70,64
CROOKWF2,2.2638272102324,1.00534982137178,111802.79709,111417.265821427,99692.23835,99534.591982,99149.0607134268,88703.045594,Gen,Crookwell 2 Wind Farm,Wind,Semi-scheduled,NSW,,,,,,23,99,21,44,21,45
ER01,1.9422600387312,0.990816089728856,100384.77961,90282.593538859,99692.23835,89432.655225,79330.469153859,88703.045594,Gen,Eraring,Black Coal,Scheduled,NSW,Eraring Power Station,-33.061748753,151.522330068,Generator,Scheduled,21,75,10,30,10,30
ER02,1.9422600387312,0.990816089728856,100384.77961,90282.593538859,99692.23835,89432.655225,79330.469153859,88703.045594,Gen,Eraring,Black Coal,Scheduled,NSW,Eraring Power Station,-33.061748753,151.522330068,Generator,Scheduled,21,76,10,30,10,31
ER03,1.93949808431448,0.99099847165285,99798.34594,90279.0946994043,99692.23835,88846.221555,79326.9703144043,88703.045594,Gen,Eraring,Black Coal,Scheduled,NSW,Eraring Power Station,-33.061748753,151.522330068,Generator,Scheduled,20,76,9,29,9,30
ER04,1.93949808431448,0.99099847165285,99798.34594,90279.0946994043,99692.23835,88846.221555,79326.9703144043,88703.045594,Gen,Eraring,Black Coal,Scheduled,NSW,Eraring Power Station,-33.061748753,151.522330068,Generator,Scheduled,21,77,9,29,9,30
FINLYSF1,-3.38459277570096,1.00470155152854,127253.33066,100063.68048,99692.23835,116342.796338,89153.146158,88703.045594,Gen,Finely Solar Farm,Solar,Semi-scheduled,NSW,,,,,,1,98,31,41,31,42
GULLRSF1,2.24705279304351,1.0054340191782,111803.02709,111581.80989,99692.23835,99534.798982,99313.581782,88703.045594,Gen,Gullen Solar Farm,Solar,Semi-scheduled,NSW,,,,,,23,99,21,45,21,47
