duid,station,fuel_type,region,profit_lmp,profit_lmp_mc,profit_rrp,alpha_mc,beta_mc,lat,lon,profit_lmp_percentile,profit_lmp_mc_percentile,alpha_mc_percentile,beta_mc_percentile,commission_2019
AGLHAL,Hallett,Gas,SA,283476.883192,126620.953810113,282293.884433,78.4121815461849,0.949852970196875,-33.348652,138.751659,83,50,93,54,FALSE
AGLSOM,Somerton,Gas,VIC,186706.825261,140136.64745447,185916.339906,56.491714653181,0.987812588763895,-37.6318219999999,144.953077,52,56,82,76,FALSE
ANGAST1,Angaston,Liquid Fuel,SA,290421.631138,88321.5790367825,282293.884433,454.101492799228,0.928715882920855,-34.50348,139.024537,86,41,98,49,FALSE
ARWF1,Ararat Wind Farm,Wind,VIC,215667.232405,202453.294717353,185916.339906,26.302833432416,0.756497490733608,-37.238181,143.052044,68,89,48,32,FALSE
BALBG1,Ballarat Battery Energy Storage System,Battery (Discharge),VIC,187184.068167,177026.138007,185916.339906,23.9459261288091,0.756871889777733,,,53,79,44,32,FALSE
BALBL1,Ballarat Battery Energy Storage System,Battery (Charge),VIC,187620.526526,176652.209606,185916.339906,23.5380950417827,0.757075967801838,,,61,78,44,32,FALSE
BALDHWF1,Bald Hills Wind Farm,Wind,VIC,186848.906777,178145.380757676,185916.339906,0.760293369972185,0.998982221209012,-38.7908,145.9277,52,80,12,91,FALSE
BANN1,Bannerton Solar Park,Solar,VIC,299799.284574,202844.448224,185916.339906,25.6264610996755,0.744301284168411,,,88,89,45,30,FALSE
BARCALDN,Barcaldine,Gas,QLD,133879.7845,40634.2887739175,105246.192707,79.5615138705059,0.122398340100057,-23.5524519999999,145.314186,45,5,94,2,FALSE
BARKIPS1,Barker Inlet Power Station,Gas,SA,282293.884433,148117.217844744,282293.884433,48.2370320035416,0.966165405378128,,,78,61,60,60,TRUE
BARRON-1,Barron Gorge,Hydro,QLD,129084.414723,63544.7660109822,105246.192707,53.7005186135483,0.180224228199294,-16.850199,145.646495,42,16,71,11,FALSE
BARRON-2,Barron Gorge,Hydro,QLD,128062.939713,63530.5463752789,105246.192707,53.7011321667638,0.180224226602025,-16.850199,145.646495,38,15,72,10,FALSE
BASTYAN,Bastyan,Hydro,TAS,269609.850252,250521.18955285,264590.034752,13.2425662014814,0.850208002683463,-41.735983,145.532112,75,97,34,37,FALSE
BBTHREE1,Tamar Valley Peaking,Gas,TAS,264588.76586,220749.023401522,264590.034752,40.318349563483,0.948433422768218,-41.141944,146.9025,73,91,53,53,FALSE
BBTHREE2,Tamar Valley Peaking,Gas,TAS,264588.76586,220749.023401522,264590.034752,40.318349563483,0.948433422768218,-41.141944,146.9025,73,91,54,53,FALSE
BBTHREE3,Tamar Valley Peaking,Gas,TAS,264588.76586,220749.023401522,264590.034752,40.318349563483,0.948433422768218,-41.141944,146.9025,74,92,54,54,FALSE
BDL01,Bairnsdale,Gas,VIC,187283.938836,151078.842735979,185916.339906,22.651131301269,0.992790089389363,-37.842859,147.56393,53,64,42,84,FALSE
BDL02,Bairnsdale,Gas,VIC,187283.938836,151078.842735979,185916.339906,22.651131301269,0.992790089389363,-37.842859,147.56393,54,65,43,84,FALSE
BERYLSF1,Beryl Solar Farm,Solar,NSW,88685.333594,88470.670374,88703.045594,0.00753664459842024,0.999938914289663,,,7,42,3,96,TRUE
BLOWERNG,Blowering,Hydro,NSW,115553.088361,113888.619766614,88703.045594,6.25841550631818,0.971895962617188,-35.3986009999999,148.246272,29,49,26,66,FALSE
BLUFF1,The Bluff Wind Farm,Wind,SA,335785.160864,181964.150822504,282293.884433,2.94626107714495,0.977406971891596,-33.3693309999999,138.982476,98,82,20,71,FALSE
BNGSF1,Bungala One Solar Farm,Solar,SA,301589.475605,183121.835795,282293.884433,5.88510553592233,0.977205144762788,,,89,85,25,68,FALSE
BNGSF2,Bungala Two Solar Farm,Solar,SA,298916.312154,183148.673814,282293.884433,5.92575611058499,0.977227252396291,,,88,85,26,69,FALSE
BOCORWF1,Boco Rock Wind Farm,Wind,NSW,99565.457982,99191.2667134267,88703.045594,2.22811843919986,1.00580762048702,-36.591414216,149.129675116,22,47,17,100,FALSE
BODWF1,Bodangora Wind Farm,Wind,NSW,90469.706318,88065.2956545757,88703.045594,0.0411510465958074,0.998987601386055,,,12,40,5,91,FALSE
BRAEMAR1,Braemar 1,Gas,QLD,91895.393789,40070.4398113477,105246.192707,98.0266485721131,0.178505846826741,-27.1109339999999,150.905337,15,3,94,7,FALSE
BRAEMAR2,Braemar 1,Gas,QLD,91895.393789,40070.4398113477,105246.192707,98.0266485721131,0.178505846826741,-27.1109339999999,150.905337,15,3,94,8,FALSE
BRAEMAR3,Braemar 1,Gas,QLD,91895.393789,40070.4398113477,105246.192707,98.0266485721131,0.178505846826741,-27.1109339999999,150.905337,16,3,95,8,FALSE
BRAEMAR5,Braemar 2,Gas,QLD,91895.393789,40070.4398113477,105246.192707,98.0266485721131,0.178505846826741,-27.112811268,150.904878261,16,4,95,8,FALSE
BRAEMAR6,Braemar 2,Gas,QLD,91895.393789,40070.4398113477,105246.192707,98.0266485721131,0.178505846826741,-27.112811268,150.904878261,16,4,95,9,FALSE
BRAEMAR7,Braemar 2,Gas,QLD,91895.393789,40070.4398113477,105246.192707,98.0266485721131,0.178505846826741,-27.112811268,150.904878261,17,4,96,9,FALSE
BROKENH1,Broken Hill Solar Plant,Solar,NSW,309651.687895,220657.091335,88703.045594,28.3060049300656,0.982983735072575,-31.9867074269999,141.391545512,91,91,52,72,FALSE
BW01,Bayswater,Black Coal,NSW,88577.378696,85961.5245134233,88703.045594,0.272248035262318,0.997476438074288,-32.39527,150.94913,4,38,7,88,FALSE
