duid,profit_lmp,profit_lmp_mc,profit_rrp,profit_lmp_90,profit_lmp_mc_90,profit_rrp_90,type,station,fuel_type,schedule_type,region
AGLHAL,303528.6643,146866.711806357,303604.65897,283476.883192,126620.953810113,282293.884433,Gen,Hallett,Gas,Scheduled,SA
AGLSOM,207989.83354,161519.982522309,206924.92925,186706.825261,140136.64745447,185916.339906,Gen,Somerton,Gas,Scheduled,VIC
ANGAST1,312327.06048,119678.443515706,303604.65897,290421.631138,88321.5790367825,282293.884433,Gen,Angaston,Liquid Fuel,Scheduled,SA
APS,206924.92925,197584.914640116,206924.92925,185916.339906,176576.325296116,185916.339906,Gen,Anglesea,Brown Coal,Scheduled,VIC
ARWF1,239403.1557,226189.218012353,206924.92925,215667.232405,202453.294717353,185916.339906,Gen,Ararat Wind Farm,Wind,Semi-scheduled,VIC
BALBG1,208088.53268,197930.60252,206924.92925,187184.068167,177026.138007,185916.339906,Gen,Ballarat Battery Energy Storage System,Battery (Discharge),Scheduled,VIC
BALBL1,192498.72904,185146.61184,206924.92925,172877.569945,165525.452745,185916.339906,Load,Ballarat Battery Energy Storage System,Battery (Charge),Scheduled,VIC
BALDHWF1,207917.11629,199213.590270676,206924.92925,186848.906777,178145.380757676,185916.339906,Gen,Bald Hills Wind Farm,Wind,Semi-scheduled,VIC
BANN1,323333.97649,226379.14014,206924.92925,299799.284574,202844.448224,185916.339906,Gen,Bannerton Solar Park,Solar,Semi-scheduled,VIC
BARCALDN,141555.72905,48506.8595439175,115495.10944,133879.7845,40634.2887739175,105246.192707,Gen,Barcaldine,Gas,Scheduled,QLD
BARKIPS1,303604.65897,169463.740220425,303604.65897,282293.884433,148117.217844744,282293.884433,Gen,Barker Inlet Power Station,Gas,Scheduled,SA
BARRON-1,136770.02681,71406.1789479822,115495.10944,129084.414723,63544.7660109822,105246.192707,Gen,Barron Gorge,Hydro,Scheduled,QLD
BARRON-2,135748.5518,71391.9593122789,115495.10944,128062.939713,63530.5463752789,105246.192707,Gen,Barron Gorge,Hydro,Scheduled,QLD
BASTYAN,298605.81848,279517.15778085,293943.94213,269609.850252,250521.18955285,264590.034752,Gen,Bastyan,Hydro,Scheduled,TAS
BBTHREE1,293943.28225,250163.610612271,293943.94213,264588.76586,220749.023401522,264590.034752,Gen,Tamar Valley Peaking,Gas,Scheduled,TAS
BBTHREE2,293943.28225,250163.610612271,293943.94213,264588.76586,220749.023401522,264590.034752,Gen,Tamar Valley Peaking,Gas,Scheduled,TAS
BBTHREE3,293943.28225,250163.610612271,293943.94213,264588.76586,220749.023401522,264590.034752,Gen,Tamar Valley Peaking,Gas,Scheduled,TAS
BDL01,208292.52818,172095.472377581,206924.92925,187283.938836,151078.842735979,185916.339906,Gen,Bairnsdale,Gas,Scheduled,VIC
BDL02,208292.52818,172095.472377581,206924.92925,187283.938836,151078.842735979,185916.339906,Gen,Bairnsdale,Gas,Scheduled,VIC
BERYLSF1,99672.55835,99457.89513,99692.23835,88685.333594,88470.670374,88703.045594,Gen,Beryl Solar Farm,Solar,Semi-scheduled,NSW
BLOWERNG,129488.21665,127823.748055614,99692.23835,115553.088361,113888.619766614,88703.045594,Gen,Blowering,Hydro,Scheduled,NSW
BLUFF1,356929.69062,203110.492715504,303604.65897,335785.160864,181964.150822504,282293.884433,Gen,The Bluff Wind Farm,Wind,Semi-scheduled,SA
BNGSF1,322833.09994,204365.46013,303604.65897,301589.475605,183121.835795,282293.884433,Gen,Bungala One Solar Farm,Solar,Semi-scheduled,SA
BNGSF2,320165.73508,204398.09674,303604.65897,298916.312154,183148.673814,282293.884433,Gen,Bungala Two Solar Farm,Solar,Semi-scheduled,SA
BOCORWF1,111835.87309,111461.681821427,99692.23835,99565.457982,99191.2667134267,88703.045594,Gen,Boco Rock Wind Farm,Wind,Semi-scheduled,NSW
BODWF1,101426.26185,99021.8511865757,99692.23835,90469.706318,88065.2956545757,88703.045594,Gen,Bodangora Wind Farm,Wind,Semi-scheduled,NSW
BRAEMAR1,100642.58662,48855.5506966177,115495.10944,91895.393789,40070.4398113477,105246.192707,Gen,Braemar 1,Gas,Scheduled,QLD
BRAEMAR2,100642.58662,48855.5506966177,115495.10944,91895.393789,40070.4398113477,105246.192707,Gen,Braemar 1,Gas,Scheduled,QLD
BRAEMAR3,100642.58662,48855.5506966177,115495.10944,91895.393789,40070.4398113477,105246.192707,Gen,Braemar 1,Gas,Scheduled,QLD
BRAEMAR5,100642.58662,48855.5506966177,115495.10944,91895.393789,40070.4398113477,105246.192707,Gen,Braemar 2,Gas,Scheduled,QLD
BRAEMAR6,100642.58662,48855.5506966177,115495.10944,91895.393789,40070.4398113477,105246.192707,Gen,Braemar 2,Gas,Scheduled,QLD
BRAEMAR7,100642.58662,48855.5506966177,115495.10944,91895.393789,40070.4398113477,105246.192707,Gen,Braemar 2,Gas,Scheduled,QLD
BROKENH1,335115.35524,246120.75868,99692.23835,309651.687895,220657.091335,88703.045594,Gen,Broken Hill Solar Plant,Solar,Semi-scheduled,NSW
BW01,99529.50742,96913.6532374233,99692.23835,88577.378696,85961.5245134233,88703.045594,Gen,Bayswater,Black Coal,Scheduled,NSW
BW02,99529.50742,96913.6532374233,99692.23835,88577.378696,85961.5245134233,88703.045594,Gen,Bayswater,Black Coal,Scheduled,NSW
BW03,99471.7155,96927.7813174233,99692.23835,88518.173968,85974.2397854233,88703.045594,Gen,Bayswater,Black Coal,Scheduled,NSW
BW04,99471.7155,96927.7813174233,99692.23835,88518.173968,85974.2397854233,88703.045594,Gen,Bayswater,Black Coal,Scheduled,NSW
CALL_A_2,115495.10944,86797.6267227122,115495.10944,105246.192707,76548.7099897122,105246.192707,Gen,Callide,Black Coal,Scheduled,QLD
CALL_B_1,132180.71798,67159.1718845007,115495.10944,124426.428897,59225.0139479219,105246.192707,Gen,Callide,Black Coal,Scheduled,QLD
CALL_B_2,132180.71798,67159.1718845007,115495.10944,124426.428897,59225.0139479219,105246.192707,Gen,Callide,Black Coal,Scheduled,QLD
CETHANA,282361.75079,267552.689785188,293943.94213,254516.411882,239707.350877188,264590.034752,Gen,Cethana,Hydro,Scheduled,TAS
CG1,101963.1766,71823.158195434,99692.23835,90746.890019,60570.3405602824,88703.045594,Gen,Colongra,Gas,Scheduled,NSW
CG2,101963.1766,71823.158195434,99692.23835,90746.890019,60570.3405602824,88703.045594,Gen,Colongra,Gas,Scheduled,NSW
CG3,101963.1766,71823.158195434,99692.23835,90746.890019,60570.3405602824,88703.045594,Gen,Colongra,Gas,Scheduled,NSW
CG4,101963.1766,71823.158195434,99692.23835,90746.890019,60570.3405602824,88703.045594,Gen,Colongra,Gas,Scheduled,NSW
CHILDSF1,110995.27752,77238.71063,115495.10944,102627.32782,68870.76093,105246.192707,Gen,Childers Solar Farm,Solar,Semi-scheduled,QLD
CLARESF1,131947.2453,72804.39587,115495.10944,124247.785021,64930.594741,105246.192707,Gen,Clare Solar Farm,Solar,Semi-scheduled,QLD
CLEMGPWF,349923.84234,203442.974295504,303604.65897,328728.94498,182248.076935504,282293.884433,Gen,Clements Gap Wind Farm,Wind,Semi-scheduled,SA
CLERMSF1,128374.70353,78374.21111,115495.10944,120026.410076,69851.576806,105246.192707,Gen,Clermont Solar Farm,Solar,Semi-scheduled,QLD
COLEASF1,260704.60352,182015.52282,99692.23835,241582.742826,162893.662126,88703.045594,Gen,Coleambally Solar Farm,Solar,Semi-scheduled,NSW
COLNSV_1,115495.10944,86684.5953525766,115495.10944,105246.192707,76435.6786195766,105246.192707,Gen,Collinsville,Black Coal,Scheduled,QLD
COLNSV_2,115495.10944,86684.5953525766,115495.10944,105246.192707,76435.6786195766,105246.192707,Gen,Collinsville,Black Coal,Scheduled,QLD
COLNSV_3,115495.10944,86684.5953525766,115495.10944,105246.192707,76435.6786195766,105246.192707,Gen,Collinsville,Black Coal,Scheduled,QLD
COLNSV_4,115495.10944,86684.5953525766,115495.10944,105246.192707,76435.6786195766,105246.192707,Gen,Collinsville,Black Coal,Scheduled,QLD
COLNSV_5,115495.10944,86684.5953525766,115495.10944,105246.192707,76435.6786195766,105246.192707,Gen,Collinsville,Black Coal,Scheduled,QLD
COOPGWF1,100619.14445,79713.5589270066,115495.10944,91872.431929,70966.8464060066,105246.192707,Gen,Coopers Gap Wind Farm,Wind,Semi-scheduled,QLD
